TravelTime,PartTimeJob,Relationship,Father's_education,Mother's_education,StudyHours,AttendenceLecs,Concentrate,Friends,SocialMediaTime,extra curricular,StudyPattern,Marks
3,0,0,1,1,2,1,1,1,3,1,1,80 to 89
3,0,1,1,2,3,1,1,1,2,1,1,80 to 89
4,0,0,3,2,2,2,1,0,3,0,2,60 to 69
3,0,1,1,2,4,1,1,1,2,1,1,80 to 89
2,0,0,2,1,2,2,1,0,4,0,2,70 to 79
4,0,0,1,1,3,2,1,1,3,0,2,60 to 69
3,0,0,1,1,4,2,2,1,3,1,2,70 to 79
3,0,0,2,2,2,2,1,0,3,1,1,70 to 79
2,0,1,2,2,4,1,1,1,3,0,2,60 to 69
3,0,0,1,1,2,2,2,1,2,0,2,70 to 79
4,0,0,2,2,3,2,2,1,3,1,1,70 to 79
2,0,1,1,2,3,2,1,1,3,0,2,70 to 79
1,0,0,1,1,4,2,1,1,2,0,1,80 to 89
2,0,0,1,2,2,2,2,1,3,1,1,80 to 89
3,0,0,2,2,3,2,1,1,3,0,2,70 to 79
2,0,1,1,2,5,2,1,1,3,0,2,70 to 79
1,0,0,2,2,4,2,1,1,3,0,2,70 to 79
3,0,1,1,1,3,1,1,1,3,0,2,80 to 89
1,0,0,1,1,1,1,1,0,2,0,2,60 to 69
2,0,0,1,2,4,1,1,1,2,0,1,70 to 79
4,0,0,1,2,3,2,1,1,2,1,2,80 to 89
3,1,0,2,2,3,2,3,1,1,1,1,80 to 89
2,0,0,2,1,2,1,1,1,3,0,2,80 to 89
4,0,1,1,1,2,2,1,1,3,0,2,60 to 69
3,1,0,2,2,2,2,2,1,3,1,2,60 to 69
3,1,0,1,1,4,2,1,1,3,0,2,80 to 89
2,0,1,1,1,3,1,1,1,3,1,2,80 to 89
1,0,0,1,2,1,2,1,1,3,0,2,90 to 100
3,0,1,1,2,4,2,3,1,2,1,1,70 to 79
1,1,1,1,1,1,1,1,1,2,1,2,60 to 69
3,0,1,1,1,3,1,1,1,2,0,2,80 to 89
4,0,0,1,2,3,1,1,1,3,0,2,80 to 89
2,0,0,1,2,3,1,1,1,3,1,2,80 to 89
4,0,0,1,2,3,1,1,1,3,1,1,80 to 89
2,0,0,1,1,4,2,2,1,2,0,2,80 to 89
2,0,0,1,1,2,2,1,1,3,1,2,80 to 89
4,0,0,2,2,3,2,2,1,3,0,1,70 to 79
4,0,0,2,2,1,1,1,1,3,0,2,70 to 79
4,0,0,2,2,4,2,2,1,1,0,1,90 to 100
4,0,0,1,1,4,2,2,1,3,0,1,60 to 69
2,1,1,1,2,3,2,2,1,3,0,1,90 to 100
4,1,1,2,2,2,2,1,1,1,0,2,70 to 79
2,0,0,3,2,3,2,1,0,3,0,2,80 to 89
3,1,1,1,1,3,2,2,1,2,1,2,60 to 69
2,0,1,2,2,4,2,2,1,1,1,2,70 to 79
3,0,1,2,2,1,2,1,1,3,1,2,80 to 89
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
1,1,1,2,2,2,1,1,1,2,1,1,90 to 100
4,0,0,2,2,2,2,1,1,3,1,1,70 to 79
2,1,0,1,1,4,1,1,0,2,1,1,90 to 100
2,1,0,1,2,3,2,2,1,3,1,1,80 to 89
2,1,0,1,2,2,2,1,1,1,0,1,70 to 79
4,0,0,2,2,3,1,1,1,2,0,2,60 to 69
1,0,0,2,2,4,2,1,1,3,1,2,80 to 89
2,0,0,1,1,2,2,1,1,3,0,2,70 to 79
4,0,0,2,2,2,2,2,1,3,0,2,80 to 89
3,1,0,1,2,3,2,1,1,1,0,2,70 to 79
3,0,0,1,2,4,2,1,1,3,1,1,90 to 100
1,0,0,2,1,3,1,1,0,3,1,2,80 to 89
2,0,0,1,2,5,1,1,0,2,0,2,70 to 79
1,0,0,1,1,3,2,1,1,3,1,2,70 to 79
1,0,0,2,2,4,2,2,1,3,1,1,80 to 89
2,0,0,1,2,3,2,1,1,3,1,2,80 to 89
4,0,0,2,2,1,2,1,1,3,1,2,70 to 79
2,1,0,2,2,1,2,1,1,3,0,2,70 to 79
2,1,1,2,2,3,2,2,1,3,1,1,70 to 79
4,1,0,2,2,4,1,1,1,3,0,2,60 to 69
1,0,0,2,3,3,1,1,0,3,1,2,60 to 69
3,0,0,2,2,2,2,1,1,3,1,2,70 to 79
2,0,0,1,2,3,2,2,1,1,0,1,70 to 79
1,0,0,1,1,1,2,1,1,3,0,2,60 to 69
2,1,0,2,2,3,2,2,1,2,0,2,70 to 79
3,0,0,2,2,2,1,1,1,3,1,2,60 to 69
3,0,0,1,1,2,1,1,0,3,1,2,70 to 79
4,0,1,1,1,2,2,1,1,2,1,2,60 to 69
1,1,1,1,2,1,1,3,1,3,1,2,70 to 79
4,0,0,1,2,2,2,2,1,3,1,2,70 to 79
1,0,0,1,1,3,2,2,1,1,1,2,70 to 79
3,0,1,2,1,2,2,1,1,3,0,2,60 to 69
4,0,0,1,1,3,1,1,1,3,0,1,70 to 79
4,0,0,1,1,2,2,2,1,3,0,1,70 to 79
1,0,0,1,1,3,1,1,1,2,1,2,60 to 69
2,1,0,2,2,2,2,2,1,3,0,2,80 to 89
2,0,0,1,1,2,1,1,1,3,1,2,70 to 79
2,0,0,1,2,3,2,1,1,3,1,2,80 to 89
3,1,0,1,1,3,1,1,1,3,1,1,80 to 89
1,0,0,1,2,1,1,1,1,2,0,2,70 to 79
1,0,0,1,2,3,2,1,1,3,0,2,50 to 59
3,0,0,1,1,3,2,1,1,2,0,2,70 to 79
1,0,0,1,1,2,2,1,0,3,0,2,70 to 79
1,0,1,2,1,4,1,1,1,3,1,2,80 to 89
3,0,0,1,1,4,1,1,1,2,1,2,70 to 79
1,0,0,2,1,2,1,1,1,3,1,1,70 to 79
2,0,0,1,1,2,2,1,1,2,1,2,60 to 69
3,0,0,1,1,1,1,1,1,3,1,2,60 to 69
1,0,0,1,1,3,1,1,0,2,1,2,80 to 89
1,1,0,2,2,2,1,1,1,1,0,2,60 to 69
1,0,0,1,1,3,2,1,1,3,0,2,80 to 89
2,0,0,1,2,3,2,2,1,1,0,2,80 to 89
4,0,0,1,2,5,1,1,1,3,1,2,60 to 69
2,0,1,1,1,4,2,1,0,1,0,1,80 to 89
1,0,0,1,1,3,2,1,1,2,0,2,70 to 79
2,0,0,1,2,1,2,1,1,3,0,2,70 to 79
2,0,0,2,2,5,1,1,1,3,0,2,80 to 89
4,0,0,1,1,1,1,1,1,3,1,2,70 to 79
3,0,0,2,2,4,2,2,1,2,0,1,80 to 89
3,0,1,2,3,1,1,1,0,1,0,2,50 to 59
4,0,0,2,1,1,3,1,0,3,0,2,0 to 20
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
4,1,0,3,2,1,1,1,1,4,1,2,40 to 49
3,1,1,1,2,1,3,1,1,3,1,2,30 to 39
4,0,1,2,1,1,1,3,0,4,1,2,30 to 39
4,1,0,1,3,4,2,1,0,3,1,2,0 to 20
4,1,0,2,2,2,1,1,0,3,1,2,40 to 49
1,1,1,1,1,1,1,3,1,3,1,2,30 to 39
3,0,1,2,1,2,1,1,1,3,0,2,50 to 59
4,1,1,3,3,2,2,2,0,3,1,2,0 to 20
3,0,1,2,3,4,1,3,0,3,1,2,30 to 39
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
4,1,1,1,2,1,1,1,0,3,1,2,0 to 20
3,1,1,3,2,2,2,1,0,2,1,1,50 to 59
4,0,1,2,2,1,1,1,0,3,1,2,20 to 29
4,1,1,1,2,4,2,1,1,1,1,1,90 to 100
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
4,1,1,3,3,4,2,2,0,1,0,1,60 to 69
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
3,1,0,2,1,1,1,1,0,2,1,2,20 to 29
4,1,0,2,1,2,1,1,1,3,1,2,30 to 39
2,1,1,1,1,3,2,1,1,2,1,1,80 to 89
4,1,1,1,1,4,2,2,0,2,1,1,80 to 89
3,1,1,2,2,1,1,1,0,3,1,2,40 to 49
3,0,1,2,2,2,1,1,1,3,1,2,40 to 49
2,0,1,1,2,1,1,1,0,2,0,2,50 to 59
4,0,0,2,3,2,1,1,0,1,1,2,40 to 49
1,0,0,1,1,2,2,1,1,3,1,2,40 to 49
3,1,0,1,1,2,2,1,0,1,0,2,50 to 59
2,1,1,1,1,2,1,1,0,3,0,2,20 to 29
3,1,0,2,3,2,1,1,1,3,1,2,50 to 59
4,1,0,2,3,2,1,1,0,3,0,2,30 to 39
4,0,1,2,2,1,1,1,0,3,1,2,40 to 49
1,0,0,1,1,1,1,1,1,3,1,2,20 to 29
3,0,0,2,2,3,2,1,1,2,1,1,90 to 100
4,0,0,2,1,1,3,1,0,3,0,2,0 to 20
4,1,1,1,2,1,1,1,0,3,1,2,0 to 20
4,1,0,1,3,4,2,1,0,3,1,2,0 to 20
4,0,0,2,1,1,3,1,0,3,0,2,0 to 20
4,1,1,1,2,1,1,1,0,3,1,2,0 to 20
4,1,1,1,2,1,1,1,0,3,1,2,0 to 20
4,1,1,1,2,1,1,1,0,3,1,2,0 to 20
4,1,1,1,2,1,1,1,0,3,1,2,0 to 20
4,1,0,1,3,4,2,1,0,3,1,2,0 to 20
4,1,1,1,2,1,1,1,0,3,1,2,0 to 20
4,1,0,1,3,4,2,1,0,3,1,2,0 to 20
4,1,1,3,3,2,2,2,0,3,1,2,0 to 20
4,0,0,2,1,1,3,1,0,3,0,2,0 to 20
4,1,1,1,2,1,1,1,0,3,1,2,0 to 20
4,1,1,3,3,2,2,2,0,3,1,2,0 to 20
4,0,0,2,1,1,3,1,0,3,0,2,0 to 20
4,0,0,2,1,1,3,1,0,3,0,2,0 to 20
4,0,0,2,1,1,3,1,0,3,0,2,0 to 20
4,1,1,3,3,2,2,2,0,3,1,2,0 to 20
4,1,0,1,3,4,2,1,0,3,1,2,0 to 20
4,1,1,3,3,2,2,2,0,3,1,2,0 to 20
4,1,1,1,2,1,1,1,0,3,1,2,0 to 20
4,1,1,1,2,1,1,1,0,3,1,2,0 to 20
4,1,1,3,3,2,2,2,0,3,1,2,0 to 20
4,0,0,2,1,1,3,1,0,3,0,2,0 to 20
4,1,0,1,3,4,2,1,0,3,1,2,0 to 20
4,1,0,1,3,4,2,1,0,3,1,2,0 to 20
4,1,0,1,3,4,2,1,0,3,1,2,0 to 20
4,1,0,1,3,4,2,1,0,3,1,2,0 to 20
4,0,0,2,1,1,3,1,0,3,0,2,0 to 20
4,1,0,1,3,4,2,1,0,3,1,2,0 to 20
4,0,0,2,1,1,3,1,0,3,0,2,0 to 20
4,1,1,1,2,1,1,1,0,3,1,2,0 to 20
4,0,0,2,1,1,3,1,0,3,0,2,0 to 20
4,1,1,1,2,1,1,1,0,3,1,2,0 to 20
4,1,0,1,3,4,2,1,0,3,1,2,0 to 20
4,1,1,3,3,2,2,2,0,3,1,2,0 to 20
4,1,1,1,2,1,1,1,0,3,1,2,0 to 20
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
4,0,1,2,2,1,1,1,0,3,1,2,20 to 29
3,1,0,2,1,1,1,1,0,2,1,2,20 to 29
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
3,1,0,2,1,1,1,1,0,2,1,2,20 to 29
1,0,0,1,1,1,1,1,1,3,1,2,20 to 29
3,1,0,2,1,1,1,1,0,2,1,2,20 to 29
3,1,0,2,1,1,1,1,0,2,1,2,20 to 29
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
4,0,1,2,2,1,1,1,0,3,1,2,20 to 29
2,1,1,1,1,2,1,1,0,3,0,2,20 to 29
3,1,0,2,1,1,1,1,0,2,1,2,20 to 29
3,1,0,2,1,1,1,1,0,2,1,2,20 to 29
4,0,1,2,2,1,1,1,0,3,1,2,20 to 29
2,1,1,1,1,2,1,1,0,3,0,2,20 to 29
4,0,1,2,2,1,1,1,0,3,1,2,20 to 29
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
2,1,1,1,1,2,1,1,0,3,0,2,20 to 29
1,0,0,1,1,1,1,1,1,3,1,2,20 to 29
1,0,0,1,1,1,1,1,1,3,1,2,20 to 29
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
2,1,1,1,1,2,1,1,0,3,0,2,20 to 29
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
2,1,1,1,1,2,1,1,0,3,0,2,20 to 29
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
4,0,1,2,2,1,1,1,0,3,1,2,20 to 29
4,0,1,2,2,1,1,1,0,3,1,2,20 to 29
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
2,0,1,2,2,1,1,1,0,3,0,2,20 to 29
4,0,1,2,1,1,1,3,0,4,1,2,30 to 39
4,0,1,2,1,1,1,3,0,4,1,2,30 to 39
3,0,1,2,3,4,1,3,0,3,1,2,30 to 39
4,1,0,2,3,2,1,1,0,3,0,2,30 to 39
3,0,1,2,3,4,1,3,0,3,1,2,30 to 39
4,1,0,2,3,2,1,1,0,3,0,2,30 to 39
1,1,1,1,1,1,1,3,1,3,1,2,30 to 39
3,0,1,2,3,4,1,3,0,3,1,2,30 to 39
3,1,1,1,2,1,3,1,1,3,1,2,30 to 39
4,1,0,2,3,2,1,1,0,3,0,2,30 to 39
3,0,1,2,3,4,1,3,0,3,1,2,30 to 39
4,1,0,2,1,2,1,1,1,3,1,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
4,0,1,2,1,1,1,3,0,4,1,2,30 to 39
1,1,1,1,1,1,1,3,1,3,1,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
3,0,1,2,3,4,1,3,0,3,1,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
4,1,0,2,3,2,1,1,0,3,0,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
3,0,1,2,3,4,1,3,0,3,1,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
3,1,1,1,2,1,3,1,1,3,1,2,30 to 39
4,1,0,2,3,2,1,1,0,3,0,2,30 to 39
2,1,0,2,3,1,1,2,1,2,0,2,30 to 39
3,0,1,2,3,4,1,3,0,3,1,2,30 to 39
1,1,1,1,1,1,1,3,1,3,1,2,30 to 39
4,1,0,2,1,2,1,1,1,3,1,2,30 to 39
4,1,0,2,1,2,1,1,1,3,1,2,30 to 39
4,1,0,2,1,2,1,1,1,3,1,2,30 to 39
3,1,1,1,2,1,3,1,1,3,1,2,30 to 39
4,0,1,2,1,1,1,3,0,4,1,2,30 to 39
4,0,0,2,3,2,1,1,0,1,1,2,40 to 49
4,1,0,2,2,2,1,1,0,3,1,2,40 to 49
3,1,1,2,2,1,1,1,0,3,1,2,40 to 49
4,1,0,3,2,1,1,1,1,4,1,2,40 to 49
4,0,1,2,2,1,1,1,0,3,1,2,40 to 49
4,0,0,2,3,2,1,1,0,1,1,2,40 to 49
1,0,0,1,1,2,2,1,1,3,1,2,40 to 49
4,1,0,3,2,1,1,1,1,4,1,2,40 to 49
4,1,0,2,2,2,1,1,0,3,1,2,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
3,0,1,2,2,2,1,1,1,3,1,2,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
4,1,0,3,2,1,1,1,1,4,1,2,40 to 49
4,0,0,2,3,2,1,1,0,1,1,2,40 to 49
3,1,1,2,2,1,1,1,0,3,1,2,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
4,0,0,2,3,2,1,1,0,1,1,2,40 to 49
4,1,0,3,2,1,1,1,1,4,1,2,40 to 49
4,0,1,2,2,1,1,1,0,3,1,2,40 to 49
4,0,0,2,3,2,1,1,0,1,1,2,40 to 49
4,1,0,2,2,2,1,1,0,3,1,2,40 to 49
4,0,1,2,2,1,1,1,0,3,1,2,40 to 49
4,1,0,3,2,1,1,1,1,4,1,2,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
3,1,1,2,2,1,1,1,0,3,1,2,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
4,0,1,2,2,1,1,1,0,3,1,2,40 to 49
4,0,1,2,2,1,1,1,0,3,1,2,40 to 49
3,1,1,2,2,1,1,1,0,3,1,2,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
4,1,0,2,2,2,1,1,0,3,1,2,40 to 49
3,0,1,2,2,2,2,2,1,3,1,1,40 to 49
3,1,0,1,1,2,2,1,0,1,0,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
3,1,0,1,1,2,2,1,0,1,0,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
3,0,1,2,1,2,1,1,1,3,0,2,50 to 59
3,1,0,1,1,2,2,1,0,1,0,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
3,1,1,3,2,2,2,1,0,2,1,1,50 to 59
3,0,1,2,3,1,1,1,0,1,0,2,50 to 59
3,0,1,2,1,2,1,1,1,3,0,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
3,1,0,1,1,2,2,1,0,1,0,2,50 to 59
3,0,1,2,3,1,1,1,0,1,0,2,50 to 59
3,0,1,2,1,2,1,1,1,3,0,2,50 to 59
3,0,1,2,3,1,1,1,0,1,0,2,50 to 59
3,1,1,3,2,2,2,1,0,2,1,1,50 to 59
3,0,1,2,1,2,1,1,1,3,0,2,50 to 59
3,1,0,1,1,2,2,1,0,1,0,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
1,0,0,1,2,3,2,1,1,3,0,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
3,0,1,2,1,2,1,1,1,3,0,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
1,0,0,1,2,3,2,1,1,3,0,2,50 to 59
1,0,0,1,2,3,2,1,1,3,0,2,50 to 59
3,1,0,1,1,2,2,1,0,1,0,2,50 to 59
1,0,0,1,2,3,2,1,1,3,0,2,50 to 59
3,1,0,1,1,2,2,1,0,1,0,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
3,1,0,1,1,2,2,1,0,1,0,2,50 to 59
3,0,1,2,1,2,1,1,1,3,0,2,50 to 59
4,1,0,1,2,3,2,1,1,3,1,2,50 to 59
1,0,0,1,2,3,2,1,1,3,0,2,50 to 59
3,1,1,1,1,3,2,2,1,2,1,2,60 to 69
3,0,0,2,2,2,1,1,1,3,1,2,60 to 69
2,0,1,2,2,4,1,1,1,3,0,2,60 to 69
1,0,0,1,1,1,1,1,0,2,0,2,60 to 69
2,0,1,2,2,4,1,1,1,3,0,2,60 to 69
1,0,0,2,3,3,1,1,0,3,1,2,60 to 69
3,0,0,2,2,2,1,1,1,3,1,2,60 to 69
1,0,0,1,1,3,1,1,1,2,1,2,60 to 69
3,1,1,1,1,3,2,2,1,2,1,2,60 to 69
3,1,1,1,1,3,2,2,1,2,1,2,60 to 69
1,1,0,2,2,2,1,1,1,1,0,2,60 to 69
3,1,1,1,1,3,2,2,1,2,1,2,60 to 69
2,0,1,2,2,4,1,1,1,3,0,2,60 to 69
4,0,0,1,2,5,1,1,1,3,1,2,60 to 69
1,0,0,1,1,1,1,1,0,2,0,2,60 to 69
1,0,0,1,1,1,2,1,1,3,0,2,60 to 69
4,0,1,1,1,2,2,1,1,2,1,2,60 to 69
4,0,0,3,2,2,2,1,0,3,0,2,60 to 69
4,0,1,1,1,2,2,1,1,3,0,2,60 to 69
1,0,0,1,1,1,1,1,0,2,0,2,60 to 69
3,0,1,1,1,3,1,1,1,2,0,2,80 to 89
1,0,0,2,1,3,1,1,0,3,1,2,80 to 89
2,0,0,1,2,3,1,1,1,3,1,2,80 to 89
3,0,1,1,1,3,1,1,1,2,0,2,80 to 89
2,0,0,1,1,2,2,1,1,3,1,2,80 to 89
1,0,0,1,2,1,2,1,1,3,0,2,90 to 100
3,0,0,1,2,4,2,1,1,3,1,1,90 to 100
3,0,0,1,2,4,2,1,1,3,1,1,90 to 100
4,1,1,1,2,4,2,1,1,1,1,1,90 to 100
4,0,0,2,2,4,2,2,1,1,0,1,90 to 100
1,0,0,1,2,1,2,1,1,3,0,2,90 to 100
2,1,0,1,1,4,1,1,0,2,1,1,90 to 100
4,0,0,2,2,4,2,2,1,1,0,1,90 to 100
4,1,1,1,2,4,2,1,1,1,1,1,90 to 100
3,0,0,1,2,4,2,1,1,3,1,1,90 to 100
3,0,0,1,2,4,2,1,1,3,1,1,90 to 100
1,1,1,2,2,2,1,1,1,2,1,1,90 to 100
4,0,0,2,2,4,2,2,1,1,0,1,90 to 100
1,0,0,1,2,1,2,1,1,3,0,2,90 to 100
1,0,0,1,2,1,2,1,1,3,0,2,90 to 100
2,1,0,1,1,4,1,1,0,2,1,1,90 to 100
1,1,1,2,2,2,1,1,1,2,1,1,90 to 100
1,1,1,2,2,2,1,1,1,2,1,1,90 to 100
4,0,0,2,2,4,2,2,1,1,0,1,90 to 100
4,1,1,1,2,4,2,1,1,1,1,1,90 to 100
3,0,0,1,2,4,2,1,1,3,1,1,90 to 100
3,0,0,2,2,3,2,1,1,2,1,1,90 to 100
3,0,0,1,2,4,2,1,1,3,1,1,90 to 100
3,0,0,2,2,3,2,1,1,2,1,1,90 to 100
1,0,0,1,2,1,2,1,1,3,0,2,90 to 100
1,0,0,1,2,1,2,1,1,3,0,2,90 to 100
3,0,0,2,2,3,2,1,1,2,1,1,90 to 100
4,0,0,2,2,4,2,2,1,1,0,1,90 to 100
2,1,1,1,2,3,2,2,1,3,0,1,90 to 100
1,0,0,1,2,1,2,1,1,3,0,2,90 to 100
4,1,1,1,2,4,2,1,1,1,1,1,90 to 100
3,0,0,2,2,3,2,1,1,2,1,1,90 to 100
1,1,1,2,2,2,1,1,1,2,1,1,90 to 100
4,1,1,1,2,4,2,1,1,1,1,1,90 to 100